Sculptor 1 0 9.4 -33 42 33.0 0.018 19.67 0.14 0.14 111.4 0.1 0.1 8.85 0.14 0.14 94.0 1.0 1.0 0.37 0.01 0.01 23.29 0.15 0.15 12.33 0.05 0.05 9.2 1.4 1.4 0.0 0.0 0.0 0.22 0.0 0.0 0.0 0.0 0.0 0.0 -1.68 0.01 0.01 2.0 (25)(26)(100)(136)(137)(130)(187)(180)(255) 
*Eridanus3 2 22 45.5 -52 17 1.0 0.025 19.7 0.2 0.2 999 999 999 17.33 0.86 0.86 62.0 11.0 11.0 0.32 0.13 0.13 22.84 4.28 2.13 0.29 0.23 0.23 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (226)(227)(255) 
Sextans(1) 10 13 3.0 -1 36 53.0 0.047 19.67 0.1 0.1 224.2 0.1 0.1 10.4 0.5 0.5 56.0 5.0 5.0 0.35 0.05 0.05 27.1 0.5 0.5 27.8 1.2 1.2 7.9 1.3 1.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.93 0.01 0.01 2.0 (27)(26)(100)(136)(130)(180) 
Virgo1 12 0 9.1 0 40 51.6 0.024 19.8 0.2 0.1 999 999 999 19.47 0.75 0.87 62.0 8.0 13.0 0.59 0.12 0.14 29.49 1.25 1.37 1.76 0.49 0.4 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (242)(241) 
*Reticulum3 3 45 26.4 -60 27 0.0 0.048 19.81 0.31 0.31 274.2 7.5 7.4 16.5 0.3 0.3 999 999 999 999 999 999 28.16 0.8 0.8 2.4 0.9 0.8 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (232)(248) 
*Indus1 21 8 49.1 -51 9 56.0 0.031 20.0 0.2 0.2 999 999 999 16.68 0.62 0.62 5.0 20.0 20.0 0.72 0.29 0.29 24.38 2.2 1.53 0.87 0.45 0.45 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (226)(227)(228)(255) 
UrsaMajor(1) 10 34 52.8 51 55 12.0 0.02 19.93 0.1 0.1 -55.3 1.4 1.4 14.81 0.38 0.38 67.0 2.0 2.0 0.57 0.03 0.03 29.11 0.47 0.47 8.34 0.34 0.34 7.6 1.0 1.0 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.18 0.04 0.04 2.0 (28)(8)(98)(130)(179)(180)(255) 
Aquarius2 22 33 55.5 -9 19 39.0 0.067 20.16 0.07 0.07 -71.1 2.5 2.5 15.8 0.14 0.14 121.0 9.0 9.0 0.39 0.09 0.09 28.56 0.64 0.64 5.1 0.8 0.8 5.4 3.4 0.9 999 999 999 999 999 999 999 999 999 999 -2.3 0.5 0.5 2.0 (238) 
Carina 6 41 36.7 -50 57 58.0 0.061 20.11 0.13 0.13 222.9 0.1 0.1 10.68 0.05 0.05 60.0 1.0 1.0 0.37 0.01 0.01 25.35 0.07 0.07 11.43 0.12 0.12 6.6 1.2 1.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.72 0.01 0.01 3.0 (29)(26)(100)(136)(130)(190)(255) 
*Grus1 22 56 42.4 -50 9 48.0 0.008 20.4 0.2 0.2 -140.5 2.4 1.6 16.93 0.59 0.59 11.0 32.0 32.0 0.54 0.26 0.26 26.86 1.77 1.35 2.08 0.87 0.87 9.8 999 999 999 999 999 999 999 999 999 999 999 999 -1.42 0.55 0.42 2.0 (226)(252)(255) 
Crater2 11 49 14.4 -18 24 47.0 0.03 20.35 0.02 0.02 87.5 0.4 0.4 12.15 0.1 0.1 0.0 999 999 0.0 999 999 29.38 0.6 0.6 31.2 2.5 2.5 2.7 0.3 0.3 0.6 999 999 999 999 999 999 999 999 999 -1.98 0.1 0.1 2.0 (245)(247) 
*Pictoris1 4 43 47.4 -50 16 59.0 0.013 20.3 0.2 0.2 999 999 999 16.85 0.6 0.6 72.0 10.0 10.0 0.24 0.19 0.19 24.5 2.04 1.46 0.66 0.32 0.32 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (226)(227)(255) 
Hercules 16 31 2.0 12 47 30.0 0.062 20.6 0.2 0.2 45.2 1.1 1.1 14.77 0.17 0.17 -73.0 2.0 2.0 0.69 0.04 0.04 26.82 0.39 0.39 5.99 0.58 0.58 3.7 0.9 0.9 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.41 0.04 0.04 2.0 (30)(31)(98)(130)(179)(180)(255) 
Hydra2 12 21 42.1 -31 59 7.0 0.061 20.64 0.16 0.16 303.1 1.4 1.4 16.04 0.37 0.37 29.0 25.0 25.0 0.17 0.13 0.13 26.14 0.89 0.79 1.5 0.32 0.32 999 999 999 999 999 999 999 999 999 999 999 999 999 -2.02 0.08 0.08 2.0 (222)(223)(255) 
Antlia2 9 35 32.8 -36 46 2.0 0.15 20.6 0.11 0.11 290.7 0.5 0.5 11.57 0.15 0.15 156.0 6.0 6.0 0.38 0.08 0.08 30.22 0.65 0.65 76.2 7.2 7.2 5.71 1.08 1.08 999 999 999 999 999 999 999 999 999 999 -1.36 0.04 0.04 2.0 (236) 
Fornax 2 39 59.3 -34 26 57.0 0.021 20.84 0.18 0.18 55.3 0.1 0.1 7.38 0.14 0.14 46.0 1.0 1.0 0.28 0.01 0.01 23.59 0.16 0.16 18.4 0.2 0.2 11.7 0.9 0.9 0.0 0.0 0.0 0.17 0.0 0.0 0.0 0.0 0.0 0.0 -0.99 0.01 0.01 2.0 (29)(26)(100)(136)(138)(130)(180)(255) 
Leo4 11 32 57.0 0 32 0.0 0.026 20.94 0.09 0.09 132.3 1.4 1.4 15.95 0.26 0.26 -29.0 27.0 27.0 0.19 0.09 0.09 27.8 0.53 0.5 2.61 0.31 0.31 3.3 1.7 1.7 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.54 0.07 0.07 2.0 (32)(8)(101)(130)(179)(180)(255) 
CanesVenatici2 12 57 10.0 34 19 15.0 0.01 21.02 0.06 0.06 -128.9 1.2 1.2 15.85 0.32 0.32 10.0 11.0 11.0 0.46 0.11 0.11 26.5 0.68 0.63 1.51 0.23 0.23 4.6 1.0 1.0 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.21 0.05 0.05 2.0 (33)(8)(98)(130)(179)(180)(255) 
Leo5 11 31 9.6 2 13 12.0 0.027 21.25 0.12 0.12 173.3 3.1 3.1 16.85 0.36 0.36 -65.0 21.0 21.0 0.35 0.07 0.07 24.89 0.9 0.79 1.0 0.22 0.22 3.7 2.3 1.4 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0 0.2 0.2 5.0 (34)(34)(101)(139)(130)(255) 
Pisces2 22 58 31.0 5 57 9.0 0.065 21.3 999 999 -226.5 2.7 2.7 17.08 0.38 0.38 99.0 13.0 13.0 0.4 0.1 0.1 26.52 0.77 0.71 1.22 0.2 0.2 5.4 3.6 2.4 999 999 999 999 999 999 999 999 999 999 -2.45 0.07 0.07 2.0 (35)(223)(255) 
*Columba1 5 31 26.4 -28 1 48.0 0.025 21.3 0.22 0.22 153.7 5.0 4.8 16.8 0.2 0.2 999 999 999 999 999 999 27.95 0.7 0.7 1.9 0.5 0.4 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (232)(248) 
*Pegasus3 22 24 22.6 5 25 12.0 0.147 21.56 0.2 0.2 -222.9 2.6 2.6 17.5 0.5 0.5 133.0 17.0 17.0 0.46 0.18 0.26 27.16 1.0 1.0 1.3 0.5 0.4 5.4 3.0 2.5 999 999 999 999 999 999 999 999 999 999 -2.1 999 999 5.0 (229)(249) 
*Indus2 20 38 52.8 -46 9 36.0 0.034 21.65 0.16 0.16 999 999 999 17.4 0.2 0.2 999 999 999 999 999 999 29.47 0.7 0.7 2.9 1.1 1.0 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (232) 
Bootes4 15 34 45.4 43 43 34.0 0.025 21.6 0.2 0.2 999 999 999 17.07 0.23 0.21 3.0 4.0 4.0 0.64 0.05 0.05 30.12 0.73 0.71 7.6 0.8 0.8 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (240) 
CanesVenatici(1) 13 28 3.5 33 33 21.0 0.014 21.69 0.1 0.1 30.9 0.6 0.6 13.1 0.2 0.2 70.0 4.0 4.0 0.39 0.03 0.03 27.1 0.2 0.2 8.9 0.4 0.4 7.6 0.4 0.4 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.98 0.01 0.01 2.0 (36)(8)(98)(130)(179)(180) 
Leo2 11 13 28.8 22 9 6.0 0.017 21.84 0.13 0.13 78.0 0.1 0.1 12.1 0.04 0.04 43.0 8.0 8.0 0.07 0.02 0.02 24.24 0.07 0.07 2.48 0.03 0.03 6.6 0.7 0.7 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.62 0.01 0.01 2.0 (37)(22)(100)(130)(180)(255) 
Cetus3 2 5 19.4 -4 16 12.0 0.024 22.0 0.2 0.1 999 999 999 19.55 0.57 0.56 101.0 5.0 6.0 0.76 0.06 0.08 28.21 1.07 1.06 1.23 0.42 0.19 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 9.0 (241) 
Leo1 10 8 28.1 12 18 23.0 0.036 22.02 0.13 0.13 282.5 0.1 0.1 10.24 0.28 0.28 78.0 1.0 1.0 0.3 0.01 0.01 22.61 0.3 0.3 3.3 0.03 0.03 9.2 1.4 1.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.43 0.01 0.01 2.0 (38)(39)(100)(130)(180)(255) 
M32 0 42 41.8 40 51 55.0 0.154 24.53 0.21 0.21 -199.0 6.0 6.0 8.1 0.1 0.1 159.0 2.0 2.0 0.25 0.02 0.02 11.1 999 999 0.47 0.05 0.05 92.0 5.0 5.0 55.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.25 999 999 5.0 (42)(43)(41)(102)(140)(130)(195) 
AndromedaIX 0 52 53.0 43 11 45.0 0.075 24.42 0.07 0.07 -209.4 2.5 2.5 16.3 1.1 1.1 999 999 999 999 999 999 28.0 1.2 1.2 2.5 0.1 0.1 10.9 2.0 2.0 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.2 0.2 0.2 3.0 (40)(44)(103)(130)(201) 
NGC205 0 40 22.1 41 41 7.0 0.085 24.58 0.07 0.07 -246.0 1.0 1.0 8.1 0.1 0.1 28.0 5.0 5.0 0.43 0.1 0.1 19.2 999 999 2.46 0.1 0.1 35.0 5.0 5.0 11.0 5.0 5.0 0.4 16.1 999 999 0.0 0.0 0.0 -0.8 0.2 0.2 5.0 (40)(45)(41)(102)(142) 
AndromedaI 0 45 39.8 38 2 28.0 0.053 24.36 0.07 0.07 -376.3 2.2 2.2 12.5 0.1 0.1 22.0 15.0 15.0 0.22 0.04 0.04 24.7 0.2 0.2 3.1 0.3 0.3 10.2 1.9 1.9 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.45 0.04 0.04 5.0 (40)(47)(105)(130)(201) 
AndromedaXVII 0 37 7.0 44 19 20.0 0.074 24.31 0.11 0.08 -251.6 1.8 2.0 15.8 0.4 0.4 122.0 7.0 7.0 0.27 0.06 0.06 25.7 0.5 0.5 1.24 0.08 0.08 2.9 2.2 1.9 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.7 0.2 0.2 3.0 (46)(104)(130)(104)(202)(207) 
AndromedaXXVII 0 37 27.1 45 23 13.0 0.08 24.59 0.12 0.12 -539.6 4.7 4.5 16.7 0.5 0.5 150.0 10.0 10.0 0.4 0.2 0.2 27.6 0.5 0.5 1.8 0.3 0.3 14.8 4.3 3.1 999 999 999 999 999 999 999 999 999 999 -2.1 0.5 0.5 3.0 (48)(207) 
AndromedaIII 0 35 33.8 36 29 52.0 0.056 24.37 0.07 0.07 -344.3 1.7 1.7 14.2 0.3 0.3 136.0 3.0 3.0 0.52 0.02 0.02 24.8 0.2 0.2 2.2 0.2 0.2 9.3 1.4 1.4 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.78 0.04 0.04 5.0 (40)(47)(105)(143)(130)(201) 
AndromedaXXV 0 30 8.9 46 51 7.0 0.101 24.55 0.12 0.12 -107.8 1.0 1.0 14.8 0.5 0.5 170.0 10.0 10.0 0.25 0.05 0.05 27.1 0.5 0.5 3.0 0.2 0.2 3.0 1.2 1.1 999 999 999 999 999 999 999 999 999 999 -1.9 0.1 0.1 3.0 (48)(207) 
AndromedaXXVI 0 23 45.6 47 54 58.0 0.11 24.41 0.12 0.12 -261.6 3.0 2.8 17.3 0.5 0.5 145.0 10.0 10.0 0.25 0.05 0.05 27.4 0.5 0.5 1.0 0.1 0.1 8.6 2.8 2.2 999 999 999 999 999 999 999 999 999 999 -1.8 0.5 0.5 3.0 (48)(207) 
AndromedaV 1 10 17.1 47 37 41.0 0.125 24.44 0.08 0.08 -403.0 4.0 4.0 14.9 0.2 0.2 32.0 10.0 10.0 0.18 0.05 0.05 25.3 0.2 0.2 1.4 0.2 0.2 11.5 5.3 4.4 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0 0.1 0.1 3.0 (40)(49)(105)(144)(143)(130)(207) 
AndromedaXI 0 46 20.0 33 48 5.0 0.08 24.33 0.05 0.05 -419.6 4.4 4.4 17.5 1.2 1.2 999 999 999 999 999 999 26.5 1.3 1.3 0.71 0.03 0.03 4.6 999 999 999 999 999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.8 0.1 0.1 3.0 (44)(103)(130)(206)(207) 
AndromedaXIX 0 19 32.1 35 2 37.0 0.062 24.57 0.08 0.43 -111.6 1.6 1.4 15.6 0.6 0.6 37.0 8.0 8.0 0.17 0.02 0.02 29.3 0.7 0.7 6.2 0.1 0.1 4.7 1.6 1.4 999 999 999 999 999 999 999 999 999 999 -1.8 0.3 0.3 3.0 (51)(202)(207) 
AndromedaXXIII 1 29 21.8 38 43 8.0 0.066 24.43 0.13 0.13 -237.7 1.2 1.2 14.2 0.5 0.5 138.0 5.0 5.0 0.4 0.05 0.05 28.0 0.5 0.5 4.6 0.2 0.2 7.1 1.0 1.0 999 999 999 999 999 999 999 999 999 999 -2.2 0.3 0.3 3.0 (48)(207) 
